role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux"
Backend Developer,"Java, Python, SQL, APIs, Node.js, Databases"
Frontend Developer,"JavaScript, React, HTML, CSS, UI Design, TypeScript"
Cloud Architect,"AWS, Azure, Cloud Computing, Networking, Security, Automation"
Data Engineer,"Python, SQL, ETL, Spark, Data Pipelines, Cloud Computing"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, Deep Learning, Statistics, Cloud Computing"
System Administrator,"Linux, Networking, Bash, Automation, Security, Windows Server"
Mobile Developer,"Java, Kotlin, Swift, Mobile Development, APIs, UI Design"
Full Stack Developer,"JavaScript, Python, React, Node.js, SQL, APIs"
